,store_key,country,state,square_meters,open_date
0,1,Australia,Australian Capital Territory,595.0,2008-01-01
1,2,Australia,Northern Territory,665.0,2008-01-12
2,3,Australia,South Australia,2000.0,2012-01-07
3,4,Australia,Tasmania,2000.0,2010-01-01
4,5,Australia,Victoria,2000.0,2015-12-09
5,6,Australia,Western Australia,2000.0,2010-01-01
6,7,Canada,New Brunswick,1105.0,2007-05-07
7,8,Canada,Newfoundland and Labrador,2105.0,2014-07-02
8,9,Canada,Northwest Territories,1500.0,2005-03-04
9,10,Canada,Nunavut,1210.0,2015-04-04
10,11,Canada,Yukon,1210.0,2009-06-03
11,12,France,Basse-Normandie,350.0,2012-06-06
12,13,France,Corse,245.0,2013-06-07
13,14,France,Franche-Comté,350.0,2009-12-15
14,15,France,La Réunion,400.0,2015-01-01
15,16,France,Limousin,385.0,2010-06-03
16,17,France,Martinique,350.0,2007-07-08
17,18,France,Mayotte,310.0,2012-08-08
18,19,Germany,Berlin,1295.0,2015-04-04
19,20,Germany,Brandenburg,1715.0,2012-12-15
20,21,Germany,Freie Hansestadt Bremen,560.0,2018-06-03
21,22,Germany,Freistaat Thüringen,2000.0,2008-03-06
22,23,Germany,Hamburg,1365.0,2010-01-01
23,24,Germany,Hessen,1855.0,2012-12-15
24,25,Germany,Mecklenburg-Vorpommern,1610.0,2010-01-01
25,26,Germany,Saarland,350.0,2019-03-05
26,27,Germany,Sachsen-Anhalt,2000.0,2008-08-08
27,28,Italy,Caltanissetta,1200.0,2012-12-15
28,29,Italy,Enna,1000.0,2008-01-01
29,30,Italy,Pesaro,2100.0,2008-01-12
30,31,Netherlands,Drenthe,1085.0,2012-01-07
31,32,Netherlands,Flevoland,910.0,2010-01-01
32,33,Netherlands,Friesland,1540.0,2015-12-09
33,34,Netherlands,Groningen,1365.0,2010-01-01
34,35,Netherlands,Zeeland,1225.0,2007-05-07
35,36,United Kingdom,Armagh,1300.0,2014-07-02
36,37,United Kingdom,Ayrshire,2100.0,2005-03-04
37,38,United Kingdom,Belfast,1800.0,2015-04-04
38,39,United Kingdom,Blaenau Gwent,2100.0,2009-06-03
39,40,United Kingdom,Dungannon and South Tyrone,1300.0,2012-06-06
40,41,United Kingdom,Fermanagh,2100.0,2013-06-07
41,42,United Kingdom,North Down,1900.0,2009-12-15
42,43,United States,Alaska,1190.0,2015-01-01
43,44,United States,Arkansas,2000.0,2010-06-03
44,45,United States,Connecticut,2000.0,2007-07-08
45,46,United States,Delaware,1015.0,2012-08-08
46,47,United States,Hawaii,1120.0,2015-04-04
47,48,United States,Idaho,1540.0,2012-12-15
48,49,United States,Iowa,2000.0,2018-06-03
49,50,United States,Kansas,2000.0,2008-03-06
50,51,United States,Maine,1295.0,2010-01-01
51,52,United States,Mississippi,2000.0,2009-06-03
52,53,United States,Montana,1260.0,2012-06-06
53,54,United States,Nebraska,2000.0,2013-06-07
54,55,United States,Nevada,2000.0,2009-12-15
55,56,United States,New Hampshire,1260.0,2015-01-01
56,57,United States,New Mexico,1645.0,2010-06-03
57,58,United States,North Dakota,1330.0,2007-07-08
58,59,United States,Oregon,2000.0,2012-08-08
59,60,United States,Rhode Island,1260.0,2005-04-04
60,61,United States,South Carolina,2000.0,2012-12-15
61,62,United States,South Dakota,1120.0,2018-06-03
62,63,United States,Utah,2000.0,2008-03-06
63,64,United States,Washington DC,1330.0,2010-01-01
64,65,United States,West Virginia,1785.0,2012-01-01
65,66,United States,Wyoming,840.0,2014-01-01
66,0,Online,Online,0.0,2010-01-01
